Ligand_name,Status
Z2054862324,SUCCESS
Z8863187365,SUCCESS
Z1762656563,SUCCESS
Z2708953991,SUCCESS
Z2913124109,SUCCESS
Z9476201902,SUCCESS
Z9231513211,SUCCESS
Z2913124109,SUCCESS
Z2771757643,SUCCESS
Z2609523098,SUCCESS
Z9066852778,SUCCESS
Z9343209340,SUCCESS
Z8999145674,SUCCESS
Z9102451645,SUCCESS
Z9304323362,SUCCESS
Z2755265091,SUCCESS
Z1635312442,SUCCESS
Z9061722933,SUCCESS
Z9101584233,SUCCESS
Z3547927172,SUCCESS
Z9485262535,SUCCESS
Z9269647878,SUCCESS
Z4576492666,SUCCESS
Z3999755697,SUCCESS
Z8825843486,SUCCESS
Z9573397261,SUCCESS
Z6845480539,SUCCESS
Z6974009775,SUCCESS
Z9481941448,SUCCESS
Z9573397261,SUCCESS
Z9481941448,SUCCESS
Z3500975301,SUCCESS
Z8795960116,SUCCESS
Z3600618930,SUCCESS
Z9518450464,SUCCESS
Z6615181852,SUCCESS
Z8824552263,SUCCESS
Z9314580702,SUCCESS
Z2294475564,SUCCESS
Z8761955131,SUCCESS
Z8869603804,SUCCESS
Z9353828421,SUCCESS
Z4466541286,SUCCESS
Z9128121751,SUCCESS
Z940505912,SUCCESS
Z9540225583,SUCCESS
Z733989302,SUCCESS
Z9231513177,SUCCESS
Z1264361779,SUCCESS
Z3866720840,SUCCESS
Z9680031264,SUCCESS
Z8571453274,SUCCESS
Z2446319963,SUCCESS
Z4134076060,SUCCESS
Z4610651469,SUCCESS
Z8034648384,SUCCESS
Z5179731044,SUCCESS
Z7188290852,SUCCESS
Z9230971338,SUCCESS
Z6696867393,SUCCESS
Z9092827579,SUCCESS
Z9092827579,SUCCESS
Z9554058866,SUCCESS
Z8034648688,SUCCESS
Z7995209285,SUCCESS
Z3255923077,SUCCESS
Z7070914534,SUCCESS
Z1785836638,SUCCESS
Z2439256998,SUCCESS
Z5224647522,SUCCESS
Z1700009871,SUCCESS
Z9217600220,SUCCESS
Z5410832455,SUCCESS
Z2581555427,SUCCESS
Z4444729622,SUCCESS
Z9619187520,SUCCESS
Z9085213756,SUCCESS
Z9984479723,SUCCESS
Z9882510693,SUCCESS
Z2437592319,SUCCESS
Z2595723392,SUCCESS
Z9256029273,SUCCESS
Z9077809821,SUCCESS
Z4009208240,SUCCESS
Z7081067375,SUCCESS
Z3347638358,SUCCESS
Z2916091211,SUCCESS
Z2581555427,SUCCESS
Z4444729622,SUCCESS
Z1997447063,SUCCESS
Z8556142639,SUCCESS
Z9432512602,SUCCESS
Z8525324340,SUCCESS
Z2407269874,SUCCESS
Z9751675057,SUCCESS
Z9062082195,SUCCESS
Z4079378008,SUCCESS
Z9946774741,SUCCESS
Z3493083508,SUCCESS
Z9946774741,SUCCESS
Z9946774741,SUCCESS
Z1497348410,SUCCESS
Z7705550199,SUCCESS
Z1455721455,SUCCESS
Z7946624046,SUCCESS
Z4312896151,SUCCESS
Z9599415506,SUCCESS
Z9731018011,SUCCESS
Z7705550199,SUCCESS
Z6665043085,SUCCESS
